wheelbase,curbweight,enginesize,horsepower,peakrpm,citympg,highwaympg,price,fueltype_gas,aspiration_turbo,doornumber_two,carbody_hardtop,carbody_hatchback,carbody_sedan,carbody_wagon,drivewheel_fwd,drivewheel_rwd,enginetype_dohcv,enginetype_l,enginetype_ohc,enginetype_ohcf,enginetype_ohcv,enginetype_rotor,cylindernumber_five,cylindernumber_four,cylindernumber_six,cylindernumber_three,cylindernumber_twelve,cylindernumber_two
88.6,2548,130,111,5000,21,27,13495.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
88.6,2548,130,111,5000,21,27,16500.0,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
94.5,2823,152,154,5000,19,26,16500.0,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
99.8,2337,109,102,5500,24,30,13950.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
99.4,2824,136,115,5500,18,22,17450.0,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
99.8,2507,136,110,5500,19,25,15250.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
105.8,2844,136,110,5500,19,25,17710.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
105.8,2954,136,110,5500,19,25,18920.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,False
105.8,3086,131,140,5500,17,20,23875.0,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False
99.5,3053,131,160,5500,16,22,17859.167,True,True,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
101.2,2395,108,101,5800,23,29,16430.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
101.2,2395,108,101,5800,23,29,16925.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
101.2,2710,164,121,4250,21,28,20970.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
101.2,2765,164,121,4250,21,28,21105.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
103.5,3055,164,121,4250,20,25,24565.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
103.5,3230,209,182,5400,16,22,30760.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
103.5,3380,209,182,5400,16,22,41315.0,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
110.0,3505,209,182,5400,15,20,36880.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
88.4,1488,61,48,5100,47,53,5151.0,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
94.5,1874,90,70,5400,38,43,6295.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1909,90,70,5400,38,43,6575.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1876,90,68,5500,37,41,5572.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1876,90,68,5500,31,38,6377.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2128,98,102,5500,24,30,7957.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1967,90,68,5500,31,38,6229.0,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1989,90,68,5500,31,38,6692.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1989,90,68,5500,31,38,7609.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,2191,98,102,5500,24,30,8558.0,True,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
103.3,2535,122,88,5000,24,30,8921.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
95.9,2811,156,145,5000,19,24,12964.0,True,True,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
86.6,1713,92,58,4800,49,54,6479.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
86.6,1819,92,76,6000,31,38,6855.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1837,79,60,5500,38,42,5399.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1940,92,76,6000,30,34,6529.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
93.7,1956,92,76,6000,30,34,7129.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2010,92,76,6000,30,34,7295.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2024,92,76,6000,30,34,7295.0,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2236,110,86,5800,27,33,7895.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2289,110,86,5800,27,33,9095.0,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2304,110,86,5800,27,33,8845.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2372,110,86,5800,27,33,10295.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2465,110,101,5800,24,28,12945.0,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
96.5,2293,110,100,5500,25,31,10345.0,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
94.3,2337,111,78,4800,24,29,6785.0,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False
94.5,1874,90,70,5400,38,43,8916.5,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False
